#title:Журнал посещений
#author:{name:hobbit_male} и {name:hobbit_female}
#types:shire
{name:hobbit_male} {name:hobbit_surname}
{name:hobbit_female} {name:hobbit_surname}
{name:hobbit_male} {name:hobbit_surname}
{name:hobbit_female} {name:hobbit_surname}
{name:hobbit_male} {name:hobbit_surname}
{name:hobbit_male} {name:hobbit_surname}
{name:hobbit_female} {name:hobbit_surname}
{name:hobbit_female} {name:hobbit_surname}
{name:hobbit_male} {name:hobbit_surname}
{name:hobbit_female} {name:hobbit_surname}
